var,mean,sd,state
A[511],61.339,1.631,
A[512],48.088,1.589,
A[513],65.946,2.814,
A[514],53.748,0.999,
A[515],54.708,0.91,
A[516],61.241,2.097,
A[517],37.216,1.76,
A[518],56.725,1.182,
A[519],51.99,0.849,
A[520],51.823,0.896,
A[521],53.074,0.903,
A[522],52.907,0.945,
A[523],47.509,1.566,
A[524],55.464,1.159,
A[525],52.099,0.788,
A[526],60.646,1.897,
A[527],60.486,1.916,
A[528],39.314,1.976,
A[529],40.342,2.03,
A[530],60.67,1.936,
A[531],52.815,0.784,
A[532],53.898,0.84,
A[533],54.715,0.899,
A[534],55.794,0.946,
A[535],40.288,2.05,
A[536],41.325,2.12,
A[537],56.682,1.144,
A[538],55.796,0.951,
A[539],60.653,1.902,
A[540],61.698,1.921,
A[541],58.235,1.425,
A[542],57.452,1.141,
A[543],56.38,1.11,
A[544],62.75,1.81,
A[545],45.194,1.618,
A[546],60.658,1.908,
A[547],52.111,0.773,
A[548],53.195,0.838,
A[549],38.412,1.094,
A[550],39.432,1.137,
A[551],44.053,1.269,
A[552],45.118,1.288,
A[553],52.173,0.929,
A[554],54.713,0.896,
A[555],55.791,0.943,
A[556],54.633,0.845,
A[557],55.712,0.881,
A[558],54.03,0.887,
A[559],55.111,0.931,
A[560],53.916,0.82,
A[561],54.996,0.87,
A[562],36.882,1.481,
A[563],52.812,0.78,
A[564],53.895,0.837,
A[565],51.74,1.057,
A[566],51.865,2.892,
A[567],44.571,3.403,
A[568],63.513,3.412,
A[569],52.038,0.85,
A[570],52.483,1.061,
A[571],52.813,0.781,
A[572],52.039,0.852,
A[573],53.124,0.901,
A[574],54.153,1.065,
A[575],38.259,1.093,
A[576],39.277,1.135,
A[577],55.04,0.866,
A[578],53.959,0.845,
A[579],55.755,0.9,
A[580],54.677,0.893,
A[581],53.936,0.86,
A[582],52.853,0.836,
A[583],55.145,0.945,
A[584],54.065,0.928,
A[585],55.833,0.932,
A[586],54.754,0.911,
A[587],53.239,0.861,
A[588],52.155,0.829,
A[589],53.165,0.944,
A[590],52.081,0.924,
A[591],55.224,1.206,
A[592],56.301,1.21,
A[593],49.258,1.444,
A[594],53.455,1.321,
A[595],52.681,1.396,
A[596],55.272,1.376,
A[597],52.753,1.359,
A[598],54.553,1.338,
A[599],54.666,1.403,
A[600],53.202,0.896,
A[601],52.43,0.967,
A[602],55.022,0.933,
A[603],52.502,0.885,
A[604],54.305,0.902,
A[605],54.42,1.0,
A[606],40.143,1.81,
A[607],39.117,1.778,
A[608],53.791,0.901,
A[609],57.382,1.528,
A[610],62.962,1.776,
A[611],63.987,1.78,
A[612],49.435,1.848,
A[613],63.187,3.365,
A[614],63.185,2.71,
A[615],38.451,1.138,
A[616],48.143,1.548,
A[617],36.674,1.742,
A[618],49.007,1.829,
A[619],54.743,0.918,
A[620],67.731,1.254,
A[621],55.81,1.107,
A[622],61.318,2.111,
A[623],35.8,3.266,
A[624],49.211,1.43,
A[625],63.03,2.712,
A[626],38.297,1.147,
A[627],47.98,1.555,
A[628],36.524,1.734,
A[629],48.843,1.819,
A[630],54.579,0.952,
A[631],67.583,1.266,
A[632],55.646,1.138,
A[633],61.16,2.134,
A[634],35.652,3.259,
A[635],49.047,1.469,
A[636],59.046,1.91,
A[637],54.681,0.85,
A[638],55.191,0.987,
A[639],55.76,0.881,
A[640],54.588,0.934,
A[641],55.124,0.957,
A[642],57.565,1.147,
A[643],58.631,1.172,
A[644],52.163,0.781,
A[645],53.247,0.84,
A[646],53.966,0.826,
A[647],55.047,0.872,
A[648],54.678,0.948,
A[649],55.756,0.988,
A[650],59.046,1.91,
A[651],52.159,0.777,
A[652],53.243,0.837,
A[653],58.16,1.208,
A[654],59.222,1.233,
A[655],52.407,0.951,
A[656],53.49,0.979,
A[657],58.47,1.217,
A[658],55.24,1.219,
A[659],57.552,1.138,
A[660],57.389,1.185,
A[661],53.635,1.008,
A[662],54.716,1.049,
A[663],53.963,0.822,
A[664],55.044,0.869,
A[665],54.078,0.891,
A[666],55.158,0.931,
A[667],54.685,0.855,
A[668],55.764,0.885,
A[669],54.765,0.907,
A[670],55.844,0.949,
A[671],52.86,0.782,
A[672],53.943,0.834,
A[673],52.087,0.855,
A[674],53.171,0.9,
A[675],52.862,0.786,
A[676],53.945,0.837,
A[677],52.163,0.78,
A[678],53.247,0.839,
A[679],52.687,0.824,
A[680],53.77,0.872,
A[681],54.918,0.9,
A[682],56.338,1.205,
A[683],55.639,0.935,
A[684],53.819,0.89,
A[685],55.716,0.958,
A[686],53.123,0.915,
A[687],51.982,0.859,
A[688],55.825,1.086,
A[689],56.899,1.113,
A[690],55.088,0.864,
A[691],54.007,0.847,
A[692],55.803,0.9,
A[693],54.724,0.897,
A[694],53.984,0.857,
A[695],52.901,0.837,
A[696],55.193,0.944,
A[697],54.113,0.931,
A[698],55.88,0.93,
A[699],54.802,0.913,
A[700],53.287,0.859,
A[701],52.203,0.832,
A[702],53.213,0.942,
A[703],52.129,0.926,
A[704],54.0,0.851,
A[705],55.034,0.873,
A[706],55.75,0.89,
A[707],53.933,0.836,
A[708],55.829,0.944,
A[709],55.149,0.927,
A[710],53.234,0.845,
A[711],53.162,0.902,
A[712],55.034,0.873,
A[713],55.75,0.89,
A[714],53.933,0.836,
A[715],55.829,0.944,
A[716],55.149,0.927,
A[717],53.234,0.845,
A[718],53.162,0.902,
A[719],53.954,0.826,
A[720],54.671,0.858,
A[721],52.85,0.783,
A[722],54.751,0.9,
A[723],54.068,0.886,
A[724],52.15,0.785,
A[725],52.078,0.856,
A[726],48.059,3.496,
A[727],49.136,3.507,
A[728],47.991,1.545,
A[729],52.132,0.9,
A[730],53.216,0.913,
A[731],52.146,0.797,
A[732],53.23,0.857,
A[733],46.346,1.771,
A[734],53.843,0.896,
A[735],49.507,1.83,
A[736],38.254,1.759,
A[737],67.644,1.254,
A[738],68.614,1.26,
A[739],67.795,1.24,
A[740],68.764,1.248,
A[741],54.354,1.089,
A[742],55.434,1.108,
A[743],36.926,1.483,
A[744],55.427,1.147,
A[745],56.503,1.154,
A[746],55.45,1.425,
A[747],55.359,0.954,
A[748],55.714,0.978,
A[749],56.782,1.146,
A[750],55.707,1.125,
A[751],55.104,2.031,
A[752],53.678,1.018,
A[753],54.759,1.056,
A[754],54.759,1.056,
A[755],53.785,0.877,
A[756],54.503,0.912,
A[757],52.682,0.834,
A[758],53.9,0.96,
A[759],51.981,0.863,
A[760],51.909,0.918,
A[761],56.796,1.163,
A[762],56.796,1.163,
A[763],54.967,0.901,
A[764],51.807,1.125,
A[765],52.891,1.16,
A[766],51.712,1.004,
A[767],52.796,0.998,
A[768],50.638,1.588,
A[769],50.471,1.586,
A[770],51.722,1.595,
A[771],51.555,1.592,
A[772],55.424,1.147,
A[773],55.26,1.162,
A[774],56.5,1.154,
A[775],56.336,1.168,
A[776],55.811,0.885,
A[777],53.994,0.837,
A[778],53.295,0.84,
A[779],53.224,0.908,
A[780],54.732,0.859,
A[781],52.911,0.791,
A[782],52.211,0.786,
A[783],52.14,0.868,
A[784],54.8,0.902,
A[785],44.147,1.282,
A[786],55.765,0.961,
A[787],55.135,0.863,
A[788],54.055,0.85,
A[789],54.772,0.903,
A[790],55.851,0.901,
A[791],54.032,0.855,
A[792],52.949,0.839,
A[793],55.241,0.944,
A[794],54.161,0.935,
A[795],55.928,0.929,
A[796],54.85,0.916,
A[797],53.335,0.859,
A[798],52.251,0.836,
A[799],53.261,0.941,
A[800],52.177,0.929,
A[801],37.142,1.759,
A[802],54.008,0.824,
A[803],52.903,0.782,
A[804],52.203,0.782,
A[805],52.131,0.856,
A[806],52.656,0.927,
A[807],53.356,0.937,
A[808],54.438,0.977,
A[809],52.583,1.006,
A[810],53.666,1.041,
A[811],54.011,0.826,
A[812],54.729,0.856,
A[813],52.207,0.782,
A[814],52.908,0.785,
A[815],54.808,0.902,
A[816],54.126,0.896,
A[817],52.135,0.859,
A[818],55.092,0.868,
A[819],55.807,0.883,
A[820],53.291,0.837,
A[821],53.991,0.833,
A[822],55.887,0.942,
A[823],55.206,0.932,
A[824],53.219,0.9,
A[825],57.547,1.142,
A[826],56.475,1.117,
A[827],68.773,2.136,
A[828],67.806,2.135,
A[829],61.955,2.118,
A[830],62.989,2.118,
A[831],59.822,1.967,
A[832],39.055,1.268,
A[833],44.46,3.338,
A[834],45.282,2.489,
A[835],46.586,1.681,
A[836],60.873,1.971,
A[837],40.082,1.306,
A[838],45.523,3.353,
A[839],46.351,2.518,
A[840],47.663,1.729,
B[0],43.32,1.585,
B[1],55.366,1.61,
B[2],51.596,1.314,
B[3],49.022,1.395,
B[4],49.519,1.364,
B[5],43.084,1.543,
B[6],49.733,1.36,
B[7],46.034,1.469,
B[8],52.719,1.191,
B[9],46.844,1.534,
B[10],51.118,1.1,
B[11],50.398,1.121,
B[12],52.223,1.141,
B[13],52.923,1.119,
B[14],52.995,1.206,
B[15],55.755,1.469,
B[16],49.448,1.241,
B[17],51.923,0.992,
B[18],52.623,0.99,
B[19],45.844,1.431,
B[20],50.05,0.986,
B[21],50.654,1.058,
B[22],56.349,1.697,
B[23],58.018,2.504,
B[24],50.675,1.011,
B[25],41.948,1.551,
B[26],49.246,1.07,
B[27],48.762,1.228,
B[28],49.273,0.958,
B[29],66.772,1.811,
B[30],56.799,1.746,
B[31],49.801,1.098,
B[32],45.607,1.397,
B[33],52.382,0.939,
B[34],51.524,1.123,
B[35],49.001,1.11,
B[36],46.118,1.327,
B[37],48.921,1.189,
B[38],42.037,1.521,
B[39],58.248,2.554,
B[40],49.73,1.041,
B[41],60.049,1.488,
B[42],56.064,1.68,
B[43],46.452,1.119,
B[44],51.635,0.928,
B[45],58.212,1.721,
B[46],59.138,1.391,
B[47],51.861,0.91,
B[48],49.347,0.899,
B[49],43.75,1.936,
B[50],67.198,1.798,
B[51],50.017,0.922,
B[52],59.844,1.333,
B[53],49.408,0.942,
B[54],35.727,3.223,
B[55],47.99,1.177,
B[56],48.691,0.914,
B[57],43.092,2.529,
B[58],43.633,4.528,
B[59],42.427,4.556,
B[60],40.399,1.819,
B[61],45.808,1.158,
B[62],35.965,2.034,
B[63],51.212,0.928,
B[64],59.007,3.372,
B[65],42.664,1.921,
B[66],47.547,1.121,
B[67],49.209,0.968,
B[68],49.893,0.976,
B[69],56.248,2.555,
B[70],57.99,2.473,
B[71],46.403,1.114,
B[72],55.179,1.269,
B[73],51.889,0.961,
B[74],49.209,0.968,
B[75],41.785,1.515,
B[76],49.065,1.2,
B[77],43.667,2.512,
B[78],51.588,0.92,
B[79],55.804,1.571,
B[80],52.489,2.898,
B[81],48.145,1.113,
B[82],58.556,2.243,
B[83],51.814,0.898,
B[84],42.521,1.502,
B[85],48.396,1.023,
B[86],59.25,2.529,
B[87],57.959,1.663,
B[88],45.465,1.385,
B[89],60.538,3.393,
B[90],45.853,1.354,
B[91],49.241,0.87,
B[92],46.355,1.109,
B[93],59.059,2.262,
B[94],51.075,0.887,
B[95],36.99,2.112,
B[96],46.316,1.166,
B[97],59.045,1.38,
B[98],48.548,1.12,
B[99],49.451,1.142,
B[100],48.097,1.105,
B[101],55.133,1.268,
B[102],57.943,2.473,
B[103],58.509,2.243,
B[104],49.24,0.87,
B[105],37.822,2.74,
B[106],59.797,1.33,
B[107],36.462,2.045,
B[108],42.558,2.079,
B[109],56.2,2.552,
B[110],55.756,1.566,
B[111],42.479,1.501,
B[112],59.797,1.33,
B[113],50.322,1.011,
B[114],43.62,2.509,
B[115],51.837,0.952,
B[116],49.161,0.957,
B[117],51.766,0.887,
B[118],51.067,0.881,
B[119],54.532,1.334,
B[120],66.597,1.796,
B[121],49.241,0.87,
B[122],55.082,1.261,
B[123],49.912,0.896,
B[124],46.308,1.105,
B[125],59.199,2.533,
B[126],41.689,1.511,
B[127],48.599,0.903,
B[128],48.43,0.924,
B[129],49.148,0.951,
B[130],49.318,0.927,
B[131],50.95,0.917,
B[132],51.121,0.913,
B[133],45.552,1.157,
B[134],45.721,1.157,
B[135],59.001,1.375,
B[136],49.059,1.211,
B[137],49.564,1.07,
B[138],49.196,0.862,
B[139],49.915,0.895,
B[140],48.488,1.116,
B[141],49.805,0.954,
B[142],48.582,0.911,
B[143],51.444,0.903,
B[144],51.28,1.45,
B[145],49.575,1.358,
B[146],48.629,1.148,
B[147],55.532,1.344,
B[148],48.89,0.959,
B[149],49.0,0.92,
B[150],64.908,2.069,
B[151],65.126,1.447,
B[152],54.262,1.466,
B[153],54.352,1.489,
B[154],51.88,0.906,
B[155],54.724,1.27,
B[156],48.128,1.143,
B[157],48.135,1.131,
B[158],49.319,1.033,
B[159],48.602,1.225,
B[160],48.932,0.922,
B[161],45.181,1.377,
B[162],51.322,0.838,
B[163],50.141,1.045,
B[164],51.946,1.06,
B[165],51.245,1.08,
B[166],52.018,1.149,
B[167],50.026,1.115,
B[168],47.973,1.261,
B[169],48.799,0.944,
B[170],49.422,1.098,
B[171],36.108,1.198,
B[172],55.988,1.583,
B[173],55.125,1.843,
B[174],56.431,2.571,
B[175],54.929,1.504,
B[176],49.374,1.099,
B[177],50.093,1.044,
B[178],37.941,2.778,
B[179],46.998,1.082,
B[180],45.358,1.343,
B[181],49.36,0.904,
B[182],49.68,1.094,
B[183],64.522,1.225,
B[184],54.118,1.453,
B[185],48.781,0.907,
B[186],48.467,1.071,
B[187],58.13,1.649,
B[188],64.89,1.221,
B[189],63.993,2.006,
B[190],51.156,0.896,
B[191],50.045,1.044,
B[192],49.326,1.101,
B[193],51.85,1.061,
B[194],54.579,1.266,
B[195],59.268,1.307,
B[196],51.292,0.885,
B[197],51.669,0.938,
B[198],35.038,1.13,
B[199],35.187,1.118,
B[200],49.882,1.119,
B[201],47.863,1.49,
B[202],48.821,0.893,
B[203],48.103,0.883,
B[204],49.924,0.894,
B[205],48.024,0.957,
B[206],48.706,0.935,
B[207],50.624,0.866,
B[208],50.696,0.948,
B[209],65.043,1.193,
B[210],51.102,1.078,
B[211],54.699,1.265,
B[212],45.168,1.256,
B[213],50.642,0.818,
B[214],49.997,1.045,
B[215],45.726,1.14,
B[216],54.483,1.535,
B[217],50.418,0.812,
B[218],49.335,0.853,
B[219],49.309,0.854,
B[220],48.227,0.889,
B[221],37.954,2.837,
B[222],44.817,1.984,
B[223],54.489,1.271,
B[224],53.407,1.285,
B[225],51.06,0.902,
B[226],59.174,1.309,
B[227],45.348,1.498,
B[228],51.129,0.808,
B[229],56.12,2.588,
B[230],53.974,1.446,
B[231],57.882,2.266,
B[232],41.046,2.773,
